cluster_id,topic_name,topic_description,keywords,cluster_size_chunks,cluster_weight_total,classifier_model,final_prompt_sha256,final_prompt_path
113,"Public Hearing Notices for Variances, Conditional Uses, and Zoning Map Amendments","A cluster of public notices and decisions involving zoning actions such as variances, conditional uses, and amendments to zoning maps and ordinances, including planning board reviews and permit processes.","['public hearing', 'variance', 'conditional use', 'zoning map amendment', 'amendment', 'planning board', 'board of adjustment', 'city/council', 'permit', 'notice', 'hearing', 'setbacks', 'density', 'lot area', 'dwelling units', 'site plan']",53,6.884487734487733,openai:gpt-5-nano,52bf963e221350409958a8c14ddf284cb83ae0783165a4497ddacbf3ca0c1aae,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
114,Codification of Borough Ordinances and Building Code Adoption,"Excerpts show actions to codify the borough's ordinances into a formal code and to adopt/amend a building code, including repeal of inconsistent provisions and publication requirements.","['codification', 'ordinances', 'building_code', 'publication', 'repeal_inconsistent', 'borough_council']",31,1.7688492063492067,openai:gpt-5-nano,896cc8537d2feadaa93b862e478ecf3508cb7a3eaa433210078c3408dd8bd08e,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
115,Amend fire code for change in use and appeals provisions,"Amendments to the Uniform Fire Code updating change-in-use approval requirements and Board of Appeals provisions, plus related inspection notice language and enforcement mechanics.","['fire_code', 'uniform_fire_code', 'change_in_use', 'occupancy', 'board_of_appeals', 'inspections', 'amendment', 'code_update', 'building_official', 'fire_chief', 'notice', 'interpretations']",330,15.97889321546554,openai:gpt-5-nano,c4ec6d5c99ad31899bf2328acebe0eaa8875e532b43a01126aae01712a763ec0,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
116,Public hearing for map rezoning and code amendments,Procedural notices and map/text amendments to change district classifications and establish new districts; hearings before planning commission and city council; amendments to zoning code.,"['rezoning', 'zoning map amendment', 'text amendment', 'public hearing', 'planning commission', 'city council', 'Residential C-3', 'BC-1', 'B-1']",202,17.518221693765156,openai:gpt-5-nano,2af4caf3ef14021f24ac9616ffccb39489414f391bae0e01d98ad1e57342410f,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
117,Rezoning by District Map Amendment from B to C,"Notices and actions regarding amendments to the zoning district map and related ordinance text to reclassify parcels from B to C, including Planning Commission recommendations and public hearings led by the City Council.","['rezoning', 'district map amendment', 'B to C', 'Two-Family District', 'Multiple Family District', 'public hearing', 'Planning Commission', 'City Council', 'zoning ordinance', 'amendment']",142,21.07673715173717,openai:gpt-5-nano,60e5bc7bc7f8a2bab09ff9cbb2ea601e6c8eea2e9a86a86a37d8089482574165,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
118,Public notices for juvenile court petitions and hearings,"Public notices announcing petitions in the juvenile court (Child in Need of Assistance) and scheduled hearings, with directions to appear and potential consequences for nonappearance.","['juvenile court', 'public notice', 'petition', 'hearing', 'Child in Need of Assistance', 'Iowa Code Chapter 232', 'Linn County', 'Cedar Rapids', 'default', 'appearance', 'Clerk of the Juvenile Court']",55,4.439472731879179,openai:gpt-5-nano,fe37aa73cd47c01f6fe7104f04fd0e6c2b73f02c5b1f635032730c3f16a2c398,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
119,Public hearings to rezone districts and amend zoning map,"Notices announcing hearings on rezoning petitions, amendments to zoning text and map, and related variance/appeal proceedings.","['planning commission', 'rezoning', 'zoning map', 'zoning ordinance amendment', 'R-1', 'A General Commercial District', 'variance', 'appeal', 'notice', 'hearing', 'zoning board', 'board of adjustment']",52,5.834790289260104,openai:gpt-5-nano,e4de550bdeeef58d0ce924362a080e278f4856ba32ea82a223e330da0acbcc36,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
12,Public legal notices in local newspapers,"A collection of newspaper notices involving fictitious name filings, civil actions (notice to defend), adoptions, dissolutions, foreclosures, and city public hearings. These are regulatory notices rather than zoning content.","['public notice', 'fictitious name', 'petition for adoption', 'notice to defend', 'foreclosure', 'public hearing', 'local newspaper', 'circuit court', 'divorce/dissolution']",296,28.222076599011544,openai:gpt-5-nano,493544f1fc05970e4899244641dcc35eb1e2a3392e1ed565b89c8c072a3fb017,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
120,Automobile ads with city zoning amendment notice,Predominantly car classified ads with an embedded public notice about a zoning district map amendment (B to D) processed via Planning Commission and City Council.,"['used cars', 'classified ads', 'public notice', 'zoning amendment', 'district map', 'B to D', 'Petersburg']",92,11.748563620332188,openai:gpt-5-nano,f592c6a3b4353d6f229e30dfd38427ba843730c40f4ecb91eff345804dc26483,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
121,General classifieds and reader notices,"A cluster composed of non-zoning text such as automobile advertisements, notices, personals, and miscellaneous classifieds; no land-use or zoning regulation content is present.","['classifieds', 'notices', 'ads', 'auto sales', 'personals', 'legal notices']",49,6.146439671439671,openai:gpt-5-nano,ca717af5b3eae3bbb21b34b8a6594fd283c6dda5aef81276b50a2629872de4a7,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
122,Gas pump setback variance approved by zoning appeals board,"Petition to permit construction of a gasoline dispensing pump 18 feet from the corner side yard, approved as a setback variance by the Board of Zoning Appeals.","['gasoline pump', 'setback variance', 'side yard', 'Board of Zoning Appeals', 'appeal', 'gas station', 'Golden Rule Oil Co.']",137,9.177753127677,openai:gpt-5-nano,b240c522f82b8fbeab00211368f5a4747b5cfe81583f502db5324d308c849410,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
123,Rezoning map to establish commercial districts,"Ordinance enacted by the township board to amend the Zoning Map, designating lands for commercial use.","['rezoning', 'zoning map amendment', 'commercial designation', 'township board ordinance', 'district designation']",30,3.77462439521263,openai:gpt-5-nano,a5d787d9c0fe524938cdc683c2461483d5570c2d845c050f6f8111c978a14fbd,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
124,Public hearing on special exception for converting single-family to two-family dwelling,"Procedural zoning action: Zoning Hearing Board to hold a public hearing on a special exception request to convert a single-family dwelling into a two-family dwelling under the Morrisville Borough Zoning Ordinance (Article IV, Section 406, Paragraph 5).","['special_exception', 'public_hearing', 'two-family dwelling', 'single-family', 'Zoning Hearing Board', 'Morrisville Borough Zoning Ordinance', 'Article IV Section 406']",65,5.952250303553674,openai:gpt-5-nano,a7cb7af9030783fd5a2729c887af7c6f7542f81413a69122e5c7c7a8c425d99f,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
125,Ordinance amending zoning map to reclassify properties,Public notice of a township ordinance to change the zoning classification of specified properties by amending the zoning map from Residential to CH Highway Commercial; action by the township board of supervisors with a hearing.,"['amend map', 'rezoning', 'zoning map amendment', 'Residential to CH', 'Highway Commercial', 'Hilltown Township', 'public notice', 'town board']",85,7.443980084243235,openai:gpt-5-nano,309b7c79b9ed17f16a98cd4b8bc4ef485cd7a6488721b85c5c6926695d3f06c9,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
126,Rezoning actions and site-plan ordinance amendments,"Cluster documents show parcel rezoning actions and the creation/amendment of site plan provisions through city ordinances, with readings and votes by the city council.","['rezoning', 'site plans', 'site plan requirements', 'zoning amendment', 'city council', 'first reading', 'final reading', 'R-4', 'C-2', 'R-1A', 'Temporary PCD', 'Planned Community Development', 'ordinance', 'zoning text']",88,6.326990216588916,openai:gpt-5-nano,d716e6a3828bf81028cd7b51e7deec8d0db1753459b0cbe66740fbf6703b0ebc,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
127,Probate notice appoints executor and creditor claims,"Estate probate notices announcing will probate, appointment of executor, and creditor claim deadlines.","['probate', 'estate', 'executor', 'creditors', 'will', 'notice', 'court', 'Iowa', 'Linn County']",252,17.052498364893705,openai:gpt-5-nano,f74fff5ac57c0fbcd0d35029a5d9336fb3ed0180f07c1a2a70e81d0dc8e67d0a,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
128,"Public probate notices for will, executor, and creditors","Public legal notices regarding probate: notice of will probate, appointment of executor, and creditors’ notices filed and published by the district court.","['probate', 'will', 'executor', 'creditors', 'notice', 'district court', 'estate', 'public notice']",429,35.1531339767705,openai:gpt-5-nano,191b9801d4d522c085c489d2c3af423d46c3f183da32641609421b3a9021f60d,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
129,Public bidding notices and contracts by municipalities,"Collection of newspaper notices about bidding on municipal projects, proposals, land/land sales filings, and related administrative hearings; predominantly procurement and public-notice content rather than zoning.","['bids', 'sealed bids', 'advertisement', 'notice', 'hearing', 'bid bond', 'plans and specifications', 'Council reserves right', 'land sale', 'insurance proposals', 'foreclosure', 'municipal', 'secretary']",132,11.460411328437624,openai:gpt-5-nano,e07d47423d134fbcbb6669c8518cc38e0b43ad7f5735c57af6194bfd3334ec21,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
13,Parcel rezoning and building zone amendment notices,"Notices describing rezoning of specific parcels and amendments to the Building Zone Ordinance, including petitions, district changes, and public hearings.","['rezoning', 'building zone ordinance', 'public hearing', 'district change', 'petition', 'notice', 'zone map', 'amendment']",116,18.45,openai:gpt-5-nano,55f852144308aca25b8e1a98b85f5a2a36b4bbae8618cbbd38c0be132614cec4,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
130,Public sheriff's sale notices and property descriptions,"Legal notices announcing real estate public sales under writs of execution, including detailed property descriptions and references to subdivision plans, as well as corporate dissolution notices.","[""sheriff's sale"", 'writ of execution', 'real estate', 'public notice', 'legal description', 'subdivision map', 'plan book', 'certificate of withdrawal', 'foreign corporation', 'Doylestown Bucks County']",93,5.212620815716784,openai:gpt-5-nano,107165841a05cc1d4ae72efe367c51c7bbee40da0e96e0fb53085569d132a563,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
131,Zoning amendment in R-4 and mixed legal notices,"Public notices of a zoning text amendment to add a funeral home as a permitted use in the R-4 residential district, including a public hearing, alongside unrelated court and estate notices.","['amendment', 'zoning', 'R-4', 'permitted uses', 'funeral home', 'Use E-15', 'public hearing', 'township']",64,3.7503198985397175,openai:gpt-5-nano,36e56fa8286b579b0f9f75af93f5a34488d05c018cd708e57a7f29a4ad60b8bf,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
132,Variance hearing to extend a non-conforming use,"A mixed set of legal-notices including a zoning variance hearing to extend a non-conforming use (warehouse), plus an ordinance amendment initiative requiring dedication of recreational areas and open space by the township board.","['variance', 'non-conforming use', 'Zoning Hearing Board', 'ordinance amendment', 'recreational areas', 'open space', 'public notice', 'township board', 'Lower Makefield']",395,28.332761212163625,openai:gpt-5-nano,375b694511a34423c58137b2915968557550365ccbfe8544194994300ad56fe4,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
133,Liquor license permit hearings and municipal bid notices,"Non-zoning local-government notices describing public hearings for liquor license applications and sealed-bid procurement actions, plus related budget/tax notices in the same papers.","['public notice', 'hearing', 'licensing', 'bids', 'embossing machine', 'alcoholic beverage board', 'budget hearing', 'tax levy', 'public procurement']",61,3.3105672105672075,openai:gpt-5-nano,9a4d9ec6644ce98029ce442cacc1f0b76c04fd9c673b56be0b31b092b4034461,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
134,Rezoning actions and master plan amendments with hearings,"Cluster centers on formal zoning actions in a municipality, including rezoning of parcels (changing district classifications), amendments to the master plan, and related public hearings conducted by plan commissions and governing councils; it also includes notices and hearings for special exceptions and variances.","['rezoning', 'master plan amendment', 'public hearing', 'plan commission', 'city council', 'board of zoning appeals', 'special exception', 'variance', 'ordinance', 'R-2', 'B-3', 'zoning map']",69,9.126960784313727,openai:gpt-5-nano,c8484d86fb0b06efd2d40c72e4164f0f8f49d27f5c15b2f08c1186c4c310b7a0,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
135,Public notices for annexation petitions and street vacations,"Procedural municipal actions involving boundary changes (annexation petitions) and street right-of-way adjustments, including filings, notices, and related deeds.","['annexation', 'street vacation', 'petition', 'certificate', 'quit claim deed', 'city']",124,8.089283948245054,openai:gpt-5-nano,0e04da9a309ac15b97391c77e1c036b5de1299032771bfef41a343e92b0ed342,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
136,General newspaper notices and classifieds,"Non-zoning newspaper content including obituaries, public notices, and classified advertisements typical in daily papers.","['obituaries', 'funeral notices', 'classified ads', 'public notices', 'advertising rates', 'deadlines', 'cards of thanks', 'sale dates', 'personal ads']",143,21.359806125247292,openai:gpt-5-nano,a4e847a02146b263ae7c7a88830086a05fc656574f2d28d59c04d094defc5bee,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
137,Rezoning of parcel from R-2 to R-3 by ordinance,City council ordinance amends the zoning map to reclassify a described tract from R-2 (single and two-family) to R-3 (multiple-family).,"['rezoning', 'R-2 to R-3', 'zoning map amendment', 'single and two-family', 'multiple-family', 'city council', 'ordinance', 'Oskaloosa', 'C Avenue', 'Fourth Street']",93,11.19108283357508,openai:gpt-5-nano,eb66abd0312a9f65afc96524d2a9fcd4b6cd399eb1d2373018438b0e602dfcf9,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
138,Levying property-based special assessments for public improvements,"City council resolutions authorize property-based assessments to fund sewer, water, and street improvements, with notices, payment terms, and administrative actions.","['special assessments', 'sewer main', 'water main', 'grading and graveling streets', 'oiling streets', 'sidewalk curb and gutter', 'bituminous paving', 'publication in official newspaper', 'assessment roll', 'Common Council', 'resolution', 'installment payments', 'interest rate']",78,4.471958813543502,openai:gpt-5-nano,89a22d9ce9bafef2197f5860b30e65f651bf9187f27115b6754808ea5a42aa20,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
139,Final resolution authorizing street improvements and levying special assessments,"Procedural city council action to authorize street improvements, adopt the city engineer's report, establish an assessment district, and levy special assessments with a public hearing and installment-payment options.","['street improvements', 'special assessments', 'city council resolution', 'public hearing', 'City Engineer report', 'assessment district', 'installment payments', 'interest on unpaid balance', 'benefited properties', 'curb and gutter', 'paving']",101,6.849757568949673,openai:gpt-5-nano,00ea4232496dc87b5f7d3ae39772cd0c9beedb3a9c67ca097b76c194b83dadab,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
14,Public hearing for setback variance before zoning board of appeals,"Procedural notices and a specific variance request to reduce a building setback, reviewed by the zoning board of appeals with published notice of the hearing.","['variance', 'setback', 'public hearing', 'zoning board of appeals', 'notice', 'hearing']",156,15.778571363015752,openai:gpt-5-nano,256b1166e92ae0a0fa02548db6d27d12147eda7375919a409c52f2aefb818a24,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
140,Public improvement petitions and assessment resolutions,"City council actions approving street and utility improvements, petitions/waivers, and preliminary/final resolutions to exercise special assessments under state law.","['public works', 'improvements', 'sanitary sewer', 'watermain', 'storm sewer', 'special assessments', 'preliminary resolution', 'final resolution', 'petition', 'waiver', 'city council']",32,1.4330068006529977,openai:gpt-5-nano,c7169493a21133dbf9968a19da00bc3d4c10c57a9f651d3baa6770ea857e74e1,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
141,City Council licensing approvals for businesses and taxis,"Historical city council resolutions granting licenses to operate beer/liquor establishments, restaurants, amusement devices, and taxi services; shows administrative licensing processes rather than zoning actions.","['city council', 'licenses', 'beer licenses', 'restaurant licenses', 'taxi licenses', 'amusement devices', 'resolutions', 'applications granted', 'administration', 'public records']",77,4.801337209831789,openai:gpt-5-nano,3fe5ce4f702b592698715eeb39d4e93ddb53d34799a5f3312fbacba9e96e27bc,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
142,Petition to amend zoning and rezone parcel from R-1 to C-2,"Procedural petition before the city council to change a parcel's district from R-1 to C-2, including withdrawal options and required public hearing notice.","['amendment', 'rezoning', 'petition', 'R-1', 'C-2', 'public hearing', 'withdrawal', 'zoning']",129,8.44640440149527,openai:gpt-5-nano,f24e56341d4cfb02c5ea1ead1c25b63e14b428fb7e33909bb3047fa1a846868c,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
143,Rezoning petitions and ordinance text amendments changing district classifications,"A set of excerpts about petitions to reclassify property districts and text amendments to the zoning ordinance, with plan commission study and public hearing notices before council actions.","['rezoning', 'zoning map', 'district classifications', 'public hearing', 'Plan Commission', 'Common Council', 'C-1', 'R-1', 'C-2', 'R-2', 'R-3', 'R-4', 'C-H', 'I-1', 'C-3', 'M-L']",65,3.887379035950492,openai:gpt-5-nano,b3a5fb4bc9f705659849e6bbaf74a671a12497c945f6cee6531983c7c3b4f901,/scratch/sxr203/newspaper-parsing-export/prompts/cluster_topic_labeler_prompt_text_mechanics_v4_specificity_nobland.txt
